intent,intent_group,description,utterance
check_balance,account_information,Retrieve current account balance,What is my account balance?
check_balance,account_information,Retrieve current account balance,Show my available balance.
check_balance,account_information,Retrieve current account balance,How much money do I have?
check_balance,account_information,Retrieve current account balance,Check my balance for me.
check_balance,account_information,Retrieve current account balance,What is in my account right now?
check_balance,account_information,Retrieve current account balance,How much do I have left?
check_balance,account_information,Retrieve current account balance,Tell me my ledger balance.
check_balance,account_information,Retrieve current account balance,View my account balance.
check_balance,account_information,Retrieve current account balance,Balance enquiry.
check_balance,account_information,Retrieve current account balance,How much funds are available?
check_balance,account_information,Retrieve current account balance,Can you show my current balance?
check_balance,account_information,Retrieve current account balance,What's my balance after today's transactions?
check_balance,account_information,Retrieve current account balance,Display my account balance.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Show my last transactions.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,I want a mini statement.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,List my recent transactions.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Show my debit and credit history.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Display activity for the past week.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,What are my latest transactions?
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Show me what happened on my account today.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Any recent withdrawals?
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Provide my recent account history.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Show recent activity.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Get me the transactions for the last 10 days.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Show transactions between Jan 1 and Jan 7.
view_recent_transactions,account_information,Retrieve recent transactions / mini-statement,Give me a mini statement for this month.
account_details,account_information,"Provide account details (number, type, ledger vs available)",What is my account number?
account_details,account_information,"Provide account details (number, type, ledger vs available)",Give me my account details.
account_details,account_information,"Provide account details (number, type, ledger vs available)",What type of account do I have?
account_details,account_information,"Provide account details (number, type, ledger vs available)",Show my account information.
account_details,account_information,"Provide account details (number, type, ledger vs available)",Explain ledger vs available balance.
account_details,account_information,"Provide account details (number, type, ledger vs available)",View my account profile.
account_details,account_information,"Provide account details (number, type, ledger vs available)",Tell me my account type.
account_details,account_information,"Provide account details (number, type, ledger vs available)",What are my account details?
account_details,account_information,"Provide account details (number, type, ledger vs available)",Provide account information.
account_details,account_information,"Provide account details (number, type, ledger vs available)",Show my account specifics.
account_details,account_information,"Provide account details (number, type, ledger vs available)",What is the branch for my account?
account_details,account_information,"Provide account details (number, type, ledger vs available)",When was this account opened?
make_transfer,transfers_payments,Initiate or guide a funds transfer,I want to send money.
make_transfer,transfers_payments,Initiate or guide a funds transfer,Help me make a transfer.
make_transfer,transfers_payments,Initiate or guide a funds transfer,Transfer 500 to my savings account.
make_transfer,transfers_payments,Initiate or guide a funds transfer,How do I transfer funds?
